Date;PILIHAN;BREAKFAST;SHIFT 3;SHIFT 1;SHIFT 2
27/11/2023;PILIHAN 1;Nasi Kuning Komplit;Nasi putih, Ayam fillet crispy saus asem manis, Sawi Putih cah wortel baso, Semur Tahu, Mie goreng, Kerupuk, Sambal Cb.Merah, Semangka;Nasi putih, Ayam fillet masak teriyaki paprika ld.hitam, Sop Kimlo, Pergedel kentang, Tempe goreng lengkuas,  Kerupuk, Sambal Cb.Merah, Semangka;Nasi putih, Ayam goreng crispy sambal geprek, Sayur asem, Tempe mendoan, Tumis Jamur Jgg. Manis, Kerupuk, Sambal Cb.Merah, Semangka
27/11/2023;PILIHAN 2;My Roti Sandwich Keju + Telur Rebus;Nasi putih, Ikan Mas Goreng sambal mattah, Sawi Putih cah wortel baso, Semur Tahu, Mie goreng, Kerupuk, Sambal Cb.Merah, Semangka;Nasi putih, Ikan Mas goreng sambal bajak, Sop Kimlo, Pergedel kentang, Tempe goreng lengkuas,  Kerupuk, Sambal Cb.Merah, Semangka;Nasi putih, Pepes ikan mas, Sayur asem, Tempe mendoan, Tumis Jamur Jgg. Manis, Kerupuk, Sambal Cb.Merah, Semangka
28/11/2023;PILIHAN 1;Ketupat sayur padang;Nasi putih, Paket Soto ayam sayuran, Kripik Tempe, Kering Kentang, Kerupuk udang, Sambal Cb.Merah, Pisang;Nasi putih, Telur dadar geprek sambal bawang, Cah labu siam wortel jagung manis, Tempe Bacem, S.g krecek, Kerupuk udang, Sambal Cb.Merah, Pisang;Nasi putih, Semur telur ceplok, Cah tauge wortel, Tempe goreng balado (potong dadu, Pergedel jagung, Kerupuk udang, Sambal Cb.Merah, Pisang
28/11/2023;PILIHAN 2;Masuta Cup butter milk + Telur Rebus;Nasi putih, Paket Soto ayam sayuran, Kripik Tempe, Kering Kentang, Kerupuk udang, Sambal Cb.Merah, Pisang;Nasi putih, Kakap crispy saus bistik, Cah labu siam wortel jagung manis, Tempe Bacem, S.g krecek, Kerupuk udang, Sambal Cb.Merah, Pisang;Nasi putih, Kakap crispy sambal korek, Cah tauge wortel, Tempe goreng balado (potong dadu, Pergedel jagung, Kerupuk udang, Sambal Cb.Merah, Pisang
29/11/2023;PILIHAN 1;Nasi Goreng Teri Medan (pakai kecap);Nasi putih, Ayam Bakar masak kecap manis, Tumis tauge wortel kacang panjang, Kering Tempe, Pergedel jagung, Kerupuk, Sambal Tomat, Melon;Nasi Putih, Rendang ayam, Bening lb.siam wortel, Tahu balado, Bihun goreng, Kerupuk, Sambal Tomat, Melon;Nasi Putih, Ayam bakar Barbeque, Sup kembang kol sayuran, Mi goreng, Tahu isi, Kerupuk, Sambal Tomat, Melon
29/11/2023;PILIHAN 2;Harvest Donut Banana +  Telur Rebus;Nasi putih, Bandeng Presto gr. Telur, Tumis tauge wortel kacang panjang, Kering Tempe, Pergedel jagung, Kerupuk, Sambal Tomat, Melon;Nasi Putih, bandeng Presto, Bening lb.siam wortel, Tahu balado, Bihun goreng, Kerupuk, Sambal Tomat, Melon;Nasi Putih, bandeng presto goreng kremes, Sup kembang kol sayuran, Mi goreng, Tahu isi, Kerupuk, Sambal Tomat, Melon
30/11/2023;PILIHAN 1;Nasi pecel madiun;Nasi Putih, Ayam kecap Serundeng, Cah sawi putih wortel soun, Tempe Balado, Bihun cb.ijo, Kerupuk, Sambal Cb. Merah, Pepaya;Nasi Putih, Ayam masak tongseng pedas, Sayur lodeh podomoro, Tumis buncis putren', Kripik Tempe, Kerupuk, Sambal Cb. Merah, Pepaya;Nasi Putih, Empal daging balado, , tumis kacang panjang tauge, Kerupuk, Sambal Cb. Merah, Pepaya
30/11/2023;PILIHAN 2;Wonder Donut Cok. Putih Topp. Almond + Telur Rebus;Nasi Putih, Lele goreng sambal goang, Cah sawi putih wortel soun, Tempe Balado, Bihun cb.ijo, Kerupuk, Sambal Cb. Merah, Pepaya;Nasi Putih, Lele bakar sambal dabu-dabu, Sayur lodeh podomoro, Tumis buncis putren', Kripik Tempe, Kerupuk, Sambal Cb. Merah, Pepaya;Nasi Putih, Lele goreng masak kecap cabe ijo, tumis kacang panjang tauge, Kerupuk, Sambal Cb. Merah, Pepaya
01/12/2023;PILIHAN 1;Bihun goreng seafood;Nasi Putih, Paket Sop Iga Sayuran, Pergedel kentang, Oseng tahu cabe ijo, Krupuk Putih, Sambal Goang, Semangka;Nasi Putih, Paket Sop Iga Sayuran, Kentang balado, Tempe mendoan, Krupuk Putih, Sambal Goang, Semangka;Nasi Putih, Paket Sop Iga Sayuran, Kering kentang, Tempe semur kuah, Krupuk Putih, Sambal Goang, Semangka
01/12/2023;PILIHAN 2;Masuta Stroberry Twist + Telur Rebus;Nasi Putih, Paket Sop Iga Sayuran, Pergedel kentang, Oseng tahu cabe ijo, Krupuk Putih, Sambal Goang, Semangka;Nasi Putih, Paket Sop Iga Sayuran, Kentang balado, Tempe mendoan, Krupuk Putih, Sambal Goang, Semangka;Nasi Putih, Paket Sop Iga Sayuran, Kering kentang, Tempe semur kuah, Krupuk Putih, Sambal Goang, Semangka
02/12/2023;PILIHAN 1;Nasi Uduk Komplit;Nasi Putih, Ayam Gr. Bawang Putih, Sop Makaroni Sayuran, Martabak Tahu, Semur Terong, Kerupuk Orange 3 pcs, Sambal cb. Merah, Melon;Nasi Putih, Ayam Semur Betawi, Oseng Labu Siam jg.manis, Aseh tahu, Bakwan Sayur, Kerupuk Orange 3 pcs, Sambal cb. Merah, Melon;Nasi Putih, Ayam Gr. Lengkuas, Sop Oyong Soun, Tempe Bacem, Jamur Crispy, Kerupuk Orange 3 pcs, Sambal cb. Merah, Melon
02/12/2023;PILIHAN 2;Wonder Dount Icing + Telur Rebus;Nasi Putih, Mujair Bkr Sbl. Mattah, Sop Makaroni Sayuran, Martabak Tahu, Semur Terong, Kerupuk Orange 3 pcs, Sambal cb. Merah, Melon;Nasi Putih, Mujair Bakar Padang,  Oseng Labu Siam jg.manis, Aseh tahu, Bakwan Sayur, Kerupuk Orange 3 pcs, Sambal cb. Merah, Melon;Nasi Putih, Mujair Bkr Sambal Kecap, Sop Oyong Soun, Tempe Bacem, Jamur Crispy, Kerupuk Orange 3 pcs, Sambal cb. Merah, Melon
03/12/2023;PILIHAN 1;Nasi Goreng Rendang;Nasi Putih, Omelet Telur Isi Makaroni, Oseng Buncis Toge, Oseng Bakso Putren, Tempe goreng kuning, erupuk Udang, Sambal cb.merah, Pepaya;Nasi Putih, Fuyung Hai, Bobor bayam labu sia, Tahu goreng tepung, s.g kentang, Kerupuk Udang, Sambal cb.merah, Pepaya;Nasi Putih, Telur Dadar Gulung isi sosis sc. Asem Manis, Cah caisim wortel toge, Tahu goreng telur, Mie Goreng, Kerupuk Udang, Sambal cb.merah, Pepaya
03/12/2023;PILIHAN 2;Masuta Isi Coklat Kacang;Nasi Putih, Bawal bakar bb. rujak, Oseng Buncis Toge, Oseng Bakso Putren, Tempe goreng kuning, erupuk Udang, Sambal cb.merah, Pepaya;Nasi Putih, Bawal bakar, rica-rica sanbal ijo, Bobor bayam labu sia, Tahu goreng tepung, s.g kentang, Kerupuk Udang, Sambal cb.merah, Pepaya;Nasi Putih, Bawal bakar sambal mattah, Cah caisim wortel toge, Tahu goreng telur, Mie Goreng, Kerupuk Udang, Sambal cb.merah, Pepaya
